team,confederation,att,def,rat,log_rat,gdp,log_gdp,pop,log_pop,z_rat,z_gdp,z_pop,rat-gdp,rat-pop,p_rat-gdp,p_rat-pop
China PR,AFC,1.67,0.85,1.964705882,0.675342556,10380380,16.15542804,1370850000,21.03869682,0.470709765,2.449807327,2.446891712,-1.087275308,-0.849203017,79.43259805,156.6039358
FYR Macedonia,UEFA,1.62,0.84,1.928571429,0.656779536,11342,9.336267929,2065769,14.54101311,0.457633688,-0.417456848,-0.346952259,0.7231205,0.644788158,825.6269641,778.0876533
Armenia,UEFA,1.94,1.02,1.901960784,0.642885346,10279,9.237858258,3006800,14.91638695,0.447846406,-0.458835334,-0.185550754,0.739648375,0.547936987,831.0798365,742.3896512
Iraq,AFC,1.81,0.98,1.846938776,0.613529553,221130,12.30650604,36004552,17.39915593,0.427167733,0.831444364,0.881978764,-0.101599528,-0.04859302,447.6292497,476.9901775
Zambia,CAF,1.69,0.92,1.836956522,0.608110138,26758,10.19458877,15473905,16.55466561,0.423350213,-0.056557182,0.518868725,0.459318448,0.143459829,724.1410445,567.6415745
Guatemala,CONCACAF,1.52,0.85,1.788235294,0.581229264,60422,11.00910856,15806675,16.57594288,0.404414912,0.285925375,0.528017424,0.222577156,0.119589497,613.486197,556.4696838
El Salvador,CONCACAF,1.69,0.94,1.79787234,0.586603933,25329,10.13970526,6401240,15.67200228,0.408200911,-0.079634148,0.139345229,0.458845226,0.333034712,723.9360837,653.7675166
United Arab Emirates,AFC,1.43,0.82,1.743902439,0.556125383,401647,12.90332887,9577000,16.07487495,0.386731351,1.082391503,0.312570555,-0.301628826,0.218123207,347.9530941,602.1990431
Northern Ireland,UEFA,1.55,0.88,1.761363636,0.566088302,61848.066,11.03243611,1810863,14.40931409,0.393749385,0.295733951,-0.403579598,0.205673745,0.611450016,605.0780733,766.1291167
Oman,AFC,1.57,0.91,1.725274725,0.545386299,77755,11.26131814,4159667,15.24094558,0.379166575,0.391972378,-0.045998536,0.129886924,0.403979301,566.8296379,684.3030878
Burkina Faso,CAF,1.52,0.89,1.707865169,0.535244151,12503,9.433723894,18450494,16.7306017,0.372022289,-0.376479368,0.59451691,0.61144897,0.051325438,785.9128196,524.3021209
Korea DPR,AFC,1.29,0.78,1.653846154,0.503103578,16000,9.680344001,25155000,17.04056724,0.349381974,-0.272782581,0.727794458,0.522861408,-0.043208022,750.9642513,479.5377115
Lithuania,UEFA,1.82,1.13,1.610619469,0.476618868,48232,10.78377798,2904391,14.88173429,0.330725737,0.191180234,-0.200450545,0.209142318,0.438853626,606.8075541,698.8802526
Jordan,AFC,1.39,0.86,1.61627907,0.480126637,35765,10.48472504,6751400,15.72526045,0.333196663,0.065436921,0.16224493,0.291581249,0.24567781,647.2226303,614.7676298
Georgia,UEFA,1.39,0.87,1.597701149,0.468565814,16535,9.713234625,3729500,15.13178473,0.325053042,-0.258953002,-0.092935011,0.489737385,0.375184442,737.1569367,672.0457576
Fiji,OFC,1.5,0.96,1.5625,0.446287103,4212,8.345692873,859178,13.6637314,0.309359574,-0.833965673,-0.724161791,0.839730292,0.699990021,861.7306989,797.1002803
Cape Verde Islands,CAF,1.49,1,1.49,0.39877612,1899,7.549082711,518467,13.15863166,0.275892105,-1.168917741,-0.941342239,1.019279707,0.783674958,906.7141876,823.9937118
Uganda,CAF,1.37,0.92,1.489130435,0.398192349,27616,10.22615059,34856813,17.36675917,0.275480888,-0.043286328,0.868048954,0.30300936,-0.192765788,652.7078623,409.4621612
Angola,CAF,1.44,0.97,1.484536082,0.395102321,128564,11.76418211,24383301,17.00940907,0.273304225,0.603412474,0.714397212,-0.110443353,-0.112058971,443.1003827,447.064553
Kuwait,AFC,1.18,0.81,1.456790123,0.37623547,172350,12.05728257,3268431,14.99982061,0.260014124,0.726652936,-0.149676334,-0.20210974,0.340753172,396.70115,657.1431059
Syria,AFC,1.51,1.08,1.398148148,0.33514861,71998,11.18439362,23277238,16.96298653,0.231071907,0.359627792,0.694436663,0.002362193,-0.143524085,501.2211386,432.3284208
Congo DR,CAF,1.45,1.07,1.355140187,0.303904908,34677,10.45383192,71246000,18.08164924,0.209063362,0.052447238,1.175434075,0.175708896,-0.42499431,590.0543306,306.8765671
Latvia,UEFA,1.46,1.07,1.364485981,0.310777787,31970,10.37255324,1980700,14.49896088,0.213904724,0.018271849,-0.365033685,0.202284517,0.410812754,603.3861528,687.1830625
Libya,CAF,1.3,0.96,1.354166667,0.303186259,41148,10.6249306,6317000,15.65875497,0.208557134,0.124389399,0.133649212,0.129450167,0.136463505,566.6070205,564.3723136
Bahrain,AFC,1.32,0.98,1.346938776,0.297834444,33862,10.43004872,1316500,14.09048726,0.204787233,0.042447074,-0.540667281,0.177792495,0.496436288,591.103567,722.259812
Qatar,AFC,1.58,1.18,1.338983051,0.291910409,210002,12.25487233,2344557,14.66760703,0.200614251,0.809733848,-0.292519993,-0.314345939,0.358406636,341.8822561,664.8163053
Cyprus,UEFA,1.37,1.03,1.330097087,0.285251938,23269,10.05487728,858000,13.66235938,0.195923922,-0.115301917,-0.724751726,0.269251593,0.586872594,636.4170474,757.0892439
Trinidad and Tobago,CONCACAF,1.28,0.98,1.306122449,0.267062785,28788,10.26771391,1328019,14.09919892,0.183111203,-0.025810127,-0.536921483,0.19952547,0.472739683,602.0073817,712.7463521
Moldova,UEFA,1.37,1.05,1.304761905,0.266020576,7944,8.980172206,3555200,15.08392188,0.182377054,-0.567185039,-0.113514861,0.54308535,0.243609725,759.2006382,613.8282991
Gambia,CAF,1.31,1,1.31,0.270027137,825,6.715383386,1882450,14.44808468,0.185199338,-1.519464754,-0.386909198,1.151521619,0.39390755,932.1699879,680.0378843
Azerbaijan,UEFA,1.46,1.12,1.303571429,0.26510775,74145,11.21377791,9627900,16.08017569,0.181734046,0.371983058,0.314849744,-0.054833151,0.011896452,471.6777253,505.636161
Haiti,CONCACAF,1.29,1.06,1.216981132,0.19637331,8711,9.072341874,10911819,16.20535707,0.133316447,-0.528430298,0.368674654,0.469378189,-0.06555561,728.4803173,468.9721494
Benin,CAF,1.26,1.04,1.211538462,0.191891008,8701,9.071193241,10315244,16.14913336,0.130159044,-0.528913266,0.344499842,0.466527935,-0.055672533,727.2543183,473.6424503
Estonia,UEFA,1.47,1.23,1.195121951,0.178248231,25953,10.16404249,1313271,14.08803153,0.120548862,-0.069401032,-0.541723184,0.164685301,0.412767497,584.4926231,688.0048064
Kazakhstan,UEFA,1.2,1.12,1.071428571,0.068992871,212260,12.26556722,17498100,16.67760286,0.043587703,0.814230745,0.571728713,-0.474232344,-0.264816642,269.4380692,376.5720505
Togo,CAF,1.41,1.33,1.060150376,0.058410762,4604,8.43468077,7171000,15.78555567,0.036133502,-0.796548777,0.188170391,0.542708485,-0.065370174,759.0485239,469.0597408
Congo,CAF,1.22,1.22,1,0,13502,9.510593102,4671000,15.35688374,-0.005011939,-0.344158038,0.003852017,0.213859595,-0.00708981,609.1562714,496.6410011
Cuba,CONCACAF,0.93,0.99,0.939393939,-0.062520357,72300,11.18857941,11210064,16.2323225,-0.049052242,0.361387798,0.380269126,-0.278881252,-0.254178638,358.9091369,381.3783899
Zimbabwe,CAF,1.03,1.11,0.927927928,-0.074801213,13672,9.523105225,13061239,16.38515955,-0.057703066,-0.338897044,0.44598529,0.157822673,-0.298278357,581.0215938,361.5812093
Malawi,CAF,1,1.12,0.892857143,-0.113328685,4263,8.357728417,16310431,16.6073154,-0.084842411,-0.828905067,0.541506836,0.442309952,-0.376944342,716.7277991,327.1995758
Thailand,AFC,1.09,1.23,0.886178862,-0.120836473,373804,12.83148687,65104000,17.99149655,-0.090131013,1.052183972,1.136670641,-0.759280339,-0.703278746,162.5871535,201.7985931
Rwanda,CAF,1.13,1.31,0.86259542,-0.147809504,8012,8.988695697,10996891,16.21312315,-0.109131231,-0.563601152,0.372013878,0.249297847,-0.309804547,626.6681997,356.4649579
Equatorial Guinea,CAF,1.09,1.27,0.858267717,-0.152839204,14308,9.5685741,1430000,14.173185,-0.112674229,-0.319778666,-0.505109288,0.090692943,0.159793981,546.7762034,575.2558601
Tanzania,CAF,1.19,1.4,0.85,-0.162518929,47932,10.77753862,47421786,17.6745923,-0.119492777,0.188556758,1.000409619,-0.239407765,-0.659138008,378.194494,216.8744805
Vanuatu,OFC,1.34,1.61,0.832298137,-0.183564565,812,6.69950034,264652,12.48617103,-0.134317647,-1.526143126,-1.230483747,0.836251827,0.529435153,860.7334706,735.246042
Sierra Leone,CAF,1.23,1.52,0.809210526,-0.211696165,5033,8.523771507,6319000,15.65907153,-0.15413398,-0.759088639,0.133785323,0.328617768,-0.226301031,664.882335,394.059043
Mozambique,CAF,1.22,1.52,0.802631579,-0.219859476,16684,9.722205455,25727911,17.06308699,-0.159884342,-0.255181022,0.737477396,0.002401165,-0.55769755,501.2412849,253.8825052
Botswana,CAF,1.16,1.46,0.794520548,-0.230016431,15789,9.667068774,2056000,14.53627291,-0.167039057,-0.278364438,-0.348990431,0.009990228,0.021214853,505.1643244,510.0501942
Solomon Islands,OFC,1.24,1.59,0.779874214,-0.248622637,1155,7.051855623,581344,13.27309794,-0.180145555,-1.377987684,-0.892124556,0.696202645,0.301088084,816.5097954,639.6682984
Ethiopia,CAF,1.08,1.41,0.765957447,-0.266628663,52335,10.86542064,90076012,18.31616445,-0.192829278,0.225508666,1.276269842,-0.336244285,-0.881280209,331.5244656,147.6400503
Sudan,CAF,1.18,1.58,0.746835443,-0.291910409,73816,11.20933079,38435252,17.46448562,-0.210638129,0.370113167,0.910068919,-0.446016146,-0.701551394,281.6487227,202.3764962
Central African Republic,CAF,0.81,1.09,0.743119266,-0.296898728,1786,7.487733761,4803000,15.38475128,-0.214151978,-1.194713241,0.015834374,0.545640589,-0.222693423,760.2306327,395.7085872
Burundi,CAF,1.06,1.49,0.711409396,-0.340507212,3094,8.037220031,9823827,16.10032132,-0.244870466,-0.963669789,0.323511867,0.367987178,-0.41938062,683.2620385,309.222087
Lebanon,AFC,0.73,1.04,0.701923077,-0.353931458,49919,10.81815697,4104000,15.22747267,-0.254326712,0.205635628,-0.051791557,-0.385103216,-0.226389089,308.8829055,394.0188028
Niger,CAF,0.86,1.25,0.688,-0.373966441,8025,8.990316948,19268000,16.77395625,-0.268439663,-0.562919462,0.613158296,0.089555886,-0.599192131,546.1923945,238.3560134
Liberia,CAF,1.04,1.52,0.684210526,-0.379489622,2028,7.614805365,4503000,15.3202544,-0.272330276,-1.141283222,-0.011897697,0.453482813,-0.26591237,721.6083207,376.0780625
Namibia,CAF,0.99,1.46,0.678082192,-0.388486772,13353,9.499496358,2280700,14.63999297,-0.278668007,-0.348823905,-0.304393358,-0.056829158,-0.114470842,470.6485822,445.9321392
Kenya,CAF,0.93,1.42,0.654929577,-0.423227564,60770,11.01485153,46749000,17.66030342,-0.303139957,0.288340131,0.994265753,-0.486513407,-0.839471038,264.2075418,159.3929129
Antigua and Barbuda,CONCACAF,0.97,1.48,0.655405405,-0.422501295,1242,7.124478262,86295,11.36552694,-0.302628362,-1.347451916,-1.712333109,0.554300242,0.62104568,763.7033177,769.607259
Palestine,AFC,0.93,1.47,0.632653061,-0.457833094,6641,8.801017834,4682467,15.35933567,-0.327516625,-0.642514391,0.004906285,0.081098297,-0.330163194,541.8468921,347.4914542
Malta,UEFA,1.07,1.72,0.622093023,-0.474665642,10582,9.266909723,445426,13.00678641,-0.339373732,-0.446620014,-1.006631958,-0.055340246,0.20362798,471.4162484,595.5435338
Turkmenistan,AFC,0.95,1.53,0.620915033,-0.47656103,47932,10.77753862,4751120,15.37389094,-0.340708872,0.188556758,0.011164694,-0.46062386,-0.346731379,275.2939475,340.2509633
Mauritania,CAF,0.87,1.4,0.621428571,-0.475734304,5079,8.532869671,3631775,15.10523207,-0.340126514,-0.755263118,-0.104352004,0.140192347,-0.28383651,572.0760683,368.0266633
Papua New Guinea,OFC,1.03,1.68,0.613095238,-0.489234991,16060,9.684086988,7398500,15.81678783,-0.349636606,-0.271208761,0.201599452,-0.177158062,-0.458384243,409.2158454,293.0909381
Vietnam,AFC,0.75,1.23,0.609756098,-0.494696242,186049,12.13376536,91583000,18.33275622,-0.353483595,0.758811787,1.283403896,-0.836059275,-1.045782808,139.321874,107.123444
